feature,importance
core_num__user_historical_paid_rate,0.13169691
core_num__quantity,0.082252294
core_num__hours_since_tier_listed,0.078541614
core_num__is_late_night,0.06919331
core_num__purchases_last_1h,0.055606347
core_num__time_since_last_order_hours,0.051120117
core_num__purchase_hour,0.040386956
core_num__user_lifetime_order_count,0.029234156
opt_num__failed_payments,0.02743045
opt_num__unique_devices_per_user,0.023826467
core_num__days_until_event,0.02186049
core_num__account_age_days,0.016656738
core_cat__event_category_Nightlife,0.016477035
opt_num__purchases_same_card_24h,0.015956827
opt_num__payment_attempts,0.015152257
opt_num__vpn_detected,0.014045437
opt_num__datacenter_ip,0.013366279
opt_num__unique_cards_per_device,0.0132922055
core_num__user_historical_refund_rate,0.012543124
core_num__event_popularity_ratio,0.011814401
opt_cat__ip_country_Turkey,0.010434605
opt_num__purchases_same_device_24h,0.009939119
opt_cat__ip_city_Manchester,0.008918433
opt_cat__operating_system_iOS,0.008541933
core_cat__event_category_Concert,0.00845009
core_num__purchase_weekday,0.008441069
opt_num__phone_verified,0.008316518
opt_cat__ip_city_Los Angeles,0.007822741
core_num__organizer_historical_refund_rate,0.0077999425
core_num__purchase_month,0.007715598
opt_cat__device_type_tablet,0.007509217
opt_cat__ip_country_Saudi Arabia,0.007325467
core_cat__event_category_Theater,0.007185326
opt_cat__ip_city_Islamabad,0.006815588
core_num__spend_last_7d,0.006545749
opt_cat__browser_Chrome,0.0063860584
opt_cat__operating_system_Windows,0.0063513545
opt_cat__ip_city_Dubai,0.0063317716
core_num__price_per_ticket,0.0061742794
core_cat__event_category_Comedy,0.0061420356
opt_cat__browser_Other,0.0059873974
opt_cat__operating_system_Linux,0.005948345
opt_cat__ip_country_Canada,0.0057783783
core_num__total_price,0.005533936
opt_cat__ip_country_Pakistan,0.005464066
opt_cat__ip_country_UK,0.005297664
core_num__quantity_share_of_tier_capacity,0.005015441
core_num__is_first_order,0.004715188
core_cat__event_category_Festival,0.0045083505
core_num__is_verified,0.00445874
core_num__spend_last_24h,0.004052731
core_cat__event_category_Sports,0.00403423
opt_cat__browser_Edge,0.003938159
opt_cat__device_type_desktop,0.0038959708
opt_cat__ip_city_Toronto,0.003400797
opt_cat__operating_system_macOS,0.0033920864
opt_cat__operating_system_Android,0.0033617967
core_cat__event_category_Conference,0.0031194852
core_num__purchases_last_7d,0.0031108249
core_cat__event_category_Exhibition,0.0025561636
core_num__distinct_events_last_24h,0.002202811
opt_cat__device_type_Unknown,0.0021311373
opt_cat__ip_country_UAE,0.0019462279
core_cat__event_category_Workshop,0.0018531858
core_num__purchases_last_24h,0.0017708738
opt_cat__browser_Safari,0.0017637581
core_cat__event_category_Family,0.0016197367
opt_cat__ip_city_Doha,0.001543918
opt_num__ip_event_country_mismatch,0.0012830665
opt_cat__ip_country_USA,0.0010945431
core_num__price_deviation_from_listed,0.0005912814
opt_cat__ip_country_Vietnam,0.00048555937
core_num__is_active,0.0004100563
opt_cat__ip_country_Australia,5.6671997e-05
opt_cat__ip_country_Qatar,5.1923984e-05
opt_cat__ip_country_Singapore,2.5228028e-05
core_num__is_weekend,0.0
opt_num__proxy_detected,0.0
opt_num__purchases_same_ip_24h,0.0
opt_cat__browser_Samsung Internet,0.0
opt_cat__browser_Unknown,0.0
opt_cat__browser_Firefox,0.0
opt_cat__device_type_mobile,0.0
opt_cat__ip_country_Brazil,0.0
opt_cat__operating_system_Unknown,0.0
opt_cat__ip_country_Nigeria,0.0
opt_cat__ip_country_Indonesia,0.0
opt_cat__ip_country_Russia,0.0
opt_cat__ip_country_Romania,0.0
opt_cat__ip_country_Unknown,0.0
opt_cat__ip_city_Istanbul,0.0
opt_cat__ip_city_Riyadh,0.0
opt_cat__ip_city_Singapore,0.0
opt_cat__ip_city_Sydney,0.0
opt_cat__ip_city_Unknown,0.0
