order_id,device_id,device_type,browser,operating_system,user_agent,ip_address,ip_country,ip_city,vpn_detected,proxy_detected,datacenter_ip,card_fingerprint,failed_payments,payment_attempts,phone_verified
1,dev_868679,mobile,Safari,iOS,mobile/iOS/Safari,50.177.143.188,UK,Manchester,0.0,0.0,0.0,card_92567,0.0,1.0,1.0
2,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,
4,dev_736556,mobile,Edge,iOS,mobile/iOS/Edge,141.185.199.39,Brazil,Unknown,1.0,1.0,0.0,card_56253,0.0,1.0,0.0
5,dev_358204,mobile,Chrome,iOS,mobile/iOS/Chrome,49.208.237.75,Turkey,Istanbul,0.0,0.0,0.0,card_70763,0.0,1.0,1.0
6,dev_321481,mobile,Chrome,Android,mobile/Android/Chrome,141.166.124.249,Qatar,Doha,0.0,1.0,0.0,card_23296,2.0,3.0,1.0
7,dev_898972,mobile,Safari,iOS,mobile/iOS/Safari,104.23.162.235,UAE,Dubai,0.0,0.0,0.0,card_53231,0.0,1.0,1.0
8,dev_526591,desktop,Chrome,Windows,desktop/Windows/Chrome,149.24.20.195,Qatar,Doha,1.0,0.0,0.0,card_72266,0.0,1.0,0.0
9,dev_684976,mobile,Firefox,iOS,mobile/iOS/Firefox,155.176.3.1,UK,Manchester,1.0,1.0,0.0,card_37919,1.0,2.0,1.0
10,dev_886671,mobile,Chrome,Android,mobile/Android/Chrome,73.210.225.29,Indonesia,Unknown,0.0,1.0,0.0,card_71146,0.0,1.0,1.0
11,dev_284518,mobile,Chrome,iOS,mobile/iOS/Chrome,212.48.110.151,Canada,Toronto,0.0,0.0,0.0,card_81419,1.0,2.0,1.0
12,dev_325546,mobile,Firefox,Android,mobile/Android/Firefox,59.241.232.203,USA,Los Angeles,0.0,1.0,0.0,card_37787,1.0,2.0,1.0
13,dev_287643,mobile,Firefox,Android,mobile/Android/Firefox,192.219.86.168,Canada,Toronto,0.0,0.0,0.0,card_59347,1.0,2.0,1.0
