order_id,user_id,event_id,tier_id,quantity,total_price,status,created_at,has_qr_code,ip_address,user_agent,device_id,is_fraud,fraud_type
1,3644,294,648,10,820.6,pending,2025-09-01 00:01:00.000000000,False,,,,True,new_account_high_value
2,4388,303,670,10,182.6,paid,2025-09-01 00:01:00.000000000,True,,,,True,new_account_high_value
3,2920,12,17,6,257.76,pending,2025-09-01 00:01:00.000000000,False,,,,True,new_account_high_value
4,2938,152,329,4,133.68,refunded,2025-09-01 00:01:00.000000000,False,,,,True,new_account_high_value
5,5122,28,58,1,620.57,paid,2025-09-01 00:01:00.000000000,True,,,,False,none
6,1701,245,545,9,669.15,paid,2025-09-01 00:01:00.000000000,True,,,,True,new_account_high_value
7,1545,383,841,2,47.4,paid,2025-09-01 00:01:00.000000000,True,,,,False,none
8,1606,226,495,10,613.2,pending,2025-09-01 00:01:00.000000000,False,,,,True,new_account_high_value
9,4315,376,826,11,824.78,paid,2025-09-01 00:01:00.000000000,False,,,,True,new_account_high_value
10,4832,245,543,5,299.75,pending,2025-09-01 00:01:00.000000000,False,,,,True,new_account_high_value
11,5803,446,970,6,223.92,paid,2025-09-01 00:01:00.000000000,False,,,,True,new_account_high_value
12,5330,225,493,13,342.55,paid,2025-09-01 00:01:00.000000000,True,,,,True,new_account_high_value
13,5476,225,494,5,148.05,pending,2025-09-01 00:01:00.000000000,False,,,,True,new_account_high_value
14,731,53,115,11,1855.59,paid,2025-09-01 00:01:00.000000000,True,,,,True,new_account_high_value
15,1512,7,7,6,1153.2,paid,2025-09-01 00:01:00.000000000,True,,,,True,new_account_high_value
16,2660,294,649,5,1044.0,pending,2025-09-01 00:01:00.000000000,False,,,,True,new_account_high_value
17,5304,245,545,9,669.15,pending,2025-09-01 00:01:00.000000000,False,,,,True,new_account_high_value
18,1344,380,837,4,230.24,paid,2025-09-01 00:01:00.000000000,True,,,,True,new_account_high_value
19,1280,152,330,7,641.62,paid,2025-09-01 00:01:00.000000000,False,,,,True,new_account_high_value
20,2715,307,680,12,163.92,paid,2025-09-01 00:01:00.000000000,True,,,,True,new_account_high_value
21,4346,430,933,4,162.16,paid,2025-09-01 00:01:00.000000000,False,,,,True,new_account_high_value
22,1885,245,542,8,1454.24,paid,2025-09-01 00:01:00.000000000,True,,,,True,new_account_high_value
23,2555,324,717,7,158.48,refunded,2025-09-01 00:01:00.000000000,False,,,,True,new_account_high_value
24,5324,193,422,2,27.38,paid,2025-09-01 00:01:00.000000000,True,,,,False,none
25,5365,153,333,8,418.88,paid,2025-09-01 00:01:00.000000000,True,,,,True,new_account_high_value
26,824,215,467,12,1244.16,paid,2025-09-01 00:01:00.000000000,True,,,,True,new_account_high_value
27,5041,7,7,14,2690.8,paid,2025-09-01 00:01:00.000000000,True,,,,True,new_account_high_value
28,4305,152,328,7,209.3,paid,2025-09-01 00:01:00.000000000,True,,,,True,new_account_high_value
29,6017,215,467,7,725.76,paid,2025-09-01 00:01:00.000000000,True,,,,True,new_account_high_value
30,3118,21,39,10,189.9,paid,2025-09-01 00:01:00.000000000,True,,,,True,new_account_high_value
31,4502,178,390,13,713.05,pending,2025-09-01 00:01:00.000000000,False,,,,True,new_account_high_value
32,1241,67,144,1,19.1,paid,2025-09-01 00:01:00.000000000,True,,,,False,none
33,1801,353,773,14,351.96,pending,2025-09-01 00:01:00.000000000,False,,,,True,new_account_high_value
34,2534,163,356,4,46.08,pending,2025-09-01 00:01:00.000000000,False,,,,True,new_account_high_value
35,406,21,39,8,151.92,paid,2025-09-01 00:01:00.000000000,True,,,,True,new_account_high_value
36,5285,380,837,4,230.24,paid,2025-09-01 00:01:00.000000000,True,,,,True,new_account_high_value
37,3102,85,182,10,814.7,paid,2025-09-01 00:01:00.000000000,True,,,,True,new_account_high_value
38,299,21,40,6,86.16,refunded,2025-09-01 00:01:00.000000000,False,,,,True,new_account_high_value
39,404,424,919,10,81.0,pending,2025-09-01 00:01:00.000000000,False,,,,True,new_account_high_value
40,5822,172,377,2,127.92,paid,2025-09-01 00:01:00.000000000,True,,,,False,none
41,4134,273,600,6,3288.0,refunded,2025-09-01 00:01:00.000000000,False,,,,True,new_account_high_value
42,1663,152,330,7,641.62,paid,2025-09-01 00:01:00.000000000,True,,,,True,new_account_high_value
43,5606,152,330,7,641.62,paid,2025-09-01 00:01:00.000000000,True,,,,True,new_account_high_value
44,3028,153,332,8,382.08,refunded,2025-09-01 00:01:00.000000000,False,,,,True,new_account_high_value
45,3588,311,690,8,157.28,paid,2025-09-01 00:01:00.000000000,True,,,,True,new_account_high_value
46,1975,7,8,1,50.06,paid,2025-09-01 00:01:00.000000000,True,,,,False,none
47,3672,307,682,6,99.66,refunded,2025-09-01 00:01:00.000000000,False,,,,True,new_account_high_value
48,4680,76,164,1,11.56,paid,2025-09-01 00:06:00.000000000,True,,,,False,none
49,6051,193,422,2,27.38,paid,2025-09-01 00:06:00.000000000,True,,,,False,none
50,928,230,503,1,86.82,paid,2025-09-01 00:07:00.000000000,True,,,,False,none
51,385,376,829,1,58.14,paid,2025-09-01 00:09:00.000000000,True,,,,False,none
52,2628,191,419,1,17.03,paid,2025-09-01 00:10:00.000000000,True,,,,False,none
53,4915,353,773,15,377.1,paid,2025-09-01 00:10:10.990569465,True,,,,True,scalping_bulk
54,1863,230,504,1,313.28,paid,2025-09-01 00:14:00.000000000,True,,,,False,none
