tier_id,event_id,category_name,price,currency,total_seats
1,1,Standard,48.07,USD,324
2,2,Early Bird,8.53,USD,220
3,3,VIP,140.1,USD,2670
4,4,General Admission,57.49,USD,843
5,5,Platinum,149.71,USD,1249
6,6,Platinum,110.43,USD,811
7,7,Platinum,192.2,USD,579
8,7,General Admission,50.06,USD,864
9,8,Platinum,134.75,USD,92
10,8,VIP,77.63,USD,129
11,9,Early Bird,89.29,USD,361
12,9,Standard,119.55,USD,166
13,9,Balcony,94.2,USD,62
14,10,General Admission,196.57,USD,902
15,11,Platinum,94.47,USD,428
16,11,VIP,55.35,USD,1554
17,12,Standard,42.96,USD,4170
18,12,VIP,95.45,USD,2633
19,12,General Admission,39.78,USD,1082
20,13,Standard,28.32,USD,383
21,13,Platinum,118.44,USD,434
22,14,Balcony,8.53,USD,127
23,14,Early Bird,7.77,USD,27
24,14,VIP,21.61,USD,125
25,15,Platinum,95.81,USD,148
26,15,General Admission,22.51,USD,15
27,16,Standard,32.37,USD,35
28,16,VIP,71.87,USD,107
29,16,Early Bird,20.97,USD,22
30,16,General Admission,30.96,USD,54
31,17,Balcony,59.3,USD,28
32,17,General Admission,69.13,USD,107
33,17,Early Bird,48.64,USD,115
34,18,Early Bird,15.62,USD,27
35,18,General Admission,19.81,USD,5
36,19,Early Bird,12.19,USD,277
37,20,Platinum,166.05,USD,326
38,20,VIP,113.52,USD,788
39,21,General Admission,18.99,USD,240
40,21,Early Bird,14.36,USD,346
41,22,VIP,58.77,USD,168
42,22,Platinum,93.34,USD,188
43,22,Standard,27.08,USD,63
44,23,Balcony,17.7,USD,13
45,23,VIP,51.98,USD,55
46,23,Early Bird,17.75,USD,21
47,23,Platinum,86.88,USD,16
48,24,VIP,99.14,USD,1556
49,25,Platinum,81.2,USD,397
50,25,Standard,20.59,USD,187
51,25,Early Bird,15.55,USD,322
52,26,Balcony,92.45,USD,537
53,27,Standard,29.26,USD,16
54,27,General Admission,27.86,USD,18
55,27,VIP,66.16,USD,15
56,27,Balcony,21.86,USD,9
57,28,Early Bird,137.07,USD,184
58,28,Platinum,620.57,USD,148
59,29,VIP,122.51,USD,190
60,29,General Admission,46.61,USD,433
61,29,Early Bird,40.62,USD,216
62,30,Platinum,77.38,USD,163
63,30,General Admission,19.16,USD,365
64,31,Balcony,24.59,USD,375
65,31,General Admission,28.23,USD,283
66,32,General Admission,32.41,USD,504
67,32,Balcony,28.55,USD,575
68,33,Standard,18.47,USD,37
69,33,Early Bird,13.06,USD,597
70,34,Early Bird,47.69,USD,445
71,34,Balcony,47.97,USD,161
72,34,Platinum,233.31,USD,245
73,34,General Admission,60.22,USD,189
74,35,VIP,32.01,USD,110
75,35,Standard,13.15,USD,123
76,36,Early Bird,15.1,USD,160
77,37,Platinum,300.4,USD,877
78,38,General Admission,18.34,USD,297
79,38,Early Bird,14.6,USD,698
80,38,Platinum,66.7,USD,81
81,39,General Admission,8.07,USD,424
82,39,Platinum,29.61,USD,140
83,39,Balcony,7.22,USD,138
84,39,Early Bird,6.15,USD,211
85,40,Standard,95.01,USD,196
86,40,Platinum,333.2,USD,424
87,41,VIP,56.9,USD,135
88,41,General Admission,24.07,USD,41
89,41,Balcony,18.58,USD,148
90,41,Standard,21.31,USD,68
91,42,Platinum,139.39,USD,672
92,43,VIP,137.86,USD,795
93,44,Standard,43.61,USD,668
94,44,Platinum,171.61,USD,175
95,45,Platinum,50.74,USD,2869
96,45,Standard,13.7,USD,2132
97,45,Balcony,10.58,USD,2381
98,46,Early Bird,15.99,USD,38
99,46,Balcony,18.41,USD,104
100,46,General Admission,24.17,USD,73
101,47,Balcony,67.53,USD,2876
102,47,General Admission,87.32,USD,10834
103,48,Platinum,121.21,USD,100
104,48,Balcony,26.35,USD,10
105,48,General Admission,29.45,USD,43
106,49,VIP,33.04,USD,799
107,50,Platinum,251.22,USD,27
108,50,Early Bird,45.5,USD,62
109,50,VIP,151.43,USD,31
110,50,Balcony,52.91,USD,41
111,51,Platinum,221.51,USD,609
112,51,Balcony,54.33,USD,129
113,52,Balcony,13.96,USD,1454
114,53,Balcony,35.0,USD,367
115,53,Platinum,168.69,USD,194
116,54,General Admission,12.25,USD,251
117,54,Early Bird,9.45,USD,348
118,54,Balcony,10.04,USD,839
119,55,VIP,63.22,USD,175
120,55,Balcony,23.63,USD,180
121,56,General Admission,63.91,USD,23
122,56,Early Bird,46.66,USD,29
123,56,Balcony,50.64,USD,17
124,57,Balcony,62.77,USD,1019
125,58,Platinum,348.17,USD,229
126,58,Early Bird,63.31,USD,159
127,58,Standard,93.58,USD,172
128,59,VIP,48.86,USD,262
129,59,Platinum,73.43,USD,74
130,60,VIP,86.32,USD,361
131,61,Early Bird,20.69,USD,561
132,61,Balcony,21.78,USD,255
133,62,Platinum,68.31,USD,169
134,62,VIP,40.04,USD,71
135,63,Platinum,73.86,USD,792
136,64,General Admission,53.29,USD,250
137,64,Standard,49.35,USD,754
138,64,Platinum,179.14,USD,782
139,65,Platinum,80.7,USD,1241
140,65,Balcony,19.71,USD,1841
141,65,General Admission,21.18,USD,1188
142,66,General Admission,18.99,USD,831
143,66,Early Bird,14.55,USD,1386
144,67,Standard,19.1,USD,365
145,67,Platinum,70.43,USD,274
146,68,Early Bird,45.36,USD,483
147,68,Standard,58.29,USD,220
148,69,Platinum,89.56,USD,193
149,69,General Admission,24.01,USD,170
150,70,VIP,50.24,USD,341
151,71,VIP,34.94,USD,615
152,71,Platinum,59.7,USD,686
153,72,Early Bird,13.76,USD,135
154,72,Platinum,66.41,USD,47
155,72,Balcony,14.95,USD,150
156,72,Standard,17.92,USD,66
157,73,Early Bird,56.07,USD,173
158,73,VIP,185.12,USD,242
159,73,Balcony,63.64,USD,369
160,74,Early Bird,22.63,USD,104
161,74,VIP,73.33,USD,102
162,75,Balcony,50.29,USD,1362
163,75,General Admission,54.65,USD,780
164,76,Balcony,11.56,USD,394
165,77,Standard,207.69,USD,1616
166,78,VIP,317.48,USD,83
167,78,Standard,120.7,USD,185
168,79,Balcony,38.21,USD,62
169,79,Platinum,188.04,USD,91
170,79,Standard,49.56,USD,100
171,80,General Admission,19.18,USD,2055
172,81,Standard,57.05,USD,291
173,82,General Admission,35.48,USD,18
174,82,Standard,40.01,USD,14
175,82,VIP,97.95,USD,44
176,82,Platinum,137.6,USD,35
177,83,Standard,68.1,USD,50
178,83,VIP,177.97,USD,141
179,84,General Admission,28.66,USD,355
180,84,VIP,69.94,USD,926
181,85,VIP,198.99,USD,810
182,85,Standard,81.47,USD,354
183,86,Balcony,27.1,USD,254
184,87,Early Bird,10.63,USD,288
185,88,Balcony,31.56,USD,775
186,88,Early Bird,27.24,USD,177
187,88,Standard,33.89,USD,114
188,89,Platinum,155.31,USD,1033
189,89,General Admission,41.03,USD,352
